order_id,customer_id,order_date,ship_date,status,payment_mode,discount_pct
1108,745,2024-03-13,2024-03-14,Delivered,COD,0
1109,562,2024-03-14,2024-03-21,Delivered,Debit Card,10
1110,401,2024-03-11,2024-03-17,Delivered,Debit Card,5
1111,946,2023-02-04,2023-02-06,Delivered,Credit Card,0
1112,332,2022-04-21,,Shipped,Debit Card,15
1113,671,2022-12-02,2022-12-05,Delivered,Credit Card,15
1114,919,2022-10-24,2022-10-30,Delivered,COD,5
1115,667,2022-01-19,2022-01-25,Delivered,COD,0
1116,805,2022-10-30,2022-10-31,Delivered,Net Banking,0
1117,99,2023-12-30,2023-12-31,Returned,UPI,0
1118,528,2023-11-25,2023-11-27,Delivered,Net Banking,10
1119,35,2022-09-01,2022-09-03,Delivered,Credit Card,25
1120,669,2024-02-08,2024-02-15,Delivered,Net Banking,0
1121,475,2024-02-22,2024-02-23,Delivered,Debit Card,10
1122,123,2022-08-27,2022-08-29,Delivered,Credit Card,20
1123,24,2024-09-09,2024-09-11,Delivered,Debit Card,25
1124,394,2024-09-18,2024-09-23,Returned,Debit Card,5
1125,129,2022-07-23,2022-07-25,Delivered,Debit Card,20
1126,416,2022-02-10,2022-02-14,Delivered,COD,20
1127,66,2024-11-28,,Shipped,Credit Card,0
1128,772,2023-03-01,2023-03-08,Returned,COD,0
1129,614,2023-01-04,2023-01-05,Delivered,Credit Card,10
1130,41,2022-09-21,2022-09-26,Delivered,Debit Card,0
1131,263,2022-03-13,2022-03-16,Delivered,UPI,5
1132,990,2022-12-18,2022-12-20,Delivered,Net Banking,0
1133,308,2022-04-05,,Pending,Credit Card,5
1134,675,2024-12-29,2025-01-03,Delivered,Credit Card,10
1135,933,2023-12-23,2023-12-29,Delivered,Credit Card,0
1136,840,2022-04-02,2022-04-09,Delivered,UPI,5
1137,853,2023-03-17,,Pending,Credit Card,5
1138,606,2024-01-06,2024-01-07,Delivered,Debit Card,10
1139,564,2023-06-07,2023-06-11,Delivered,Debit Card,0
1140,468,2022-06-20,,Pending,Debit Card,0
1141,549,2023-02-22,2023-02-28,Delivered,Debit Card,5
1142,382,2024-11-13,2024-11-16,Delivered,UPI,0
1143,807,2024-06-07,2024-06-08,Delivered,Net Banking,5
1144,277,2022-09-13,2022-09-14,Delivered,Debit Card,10
1145,338,2022-07-02,2022-07-04,Delivered,UPI,5
1146,890,2023-04-08,2023-04-12,Delivered,UPI,5
1147,975,2022-08-04,,Shipped,UPI,20
1148,746,2023-09-20,2023-09-25,Delivered,COD,0
1149,358,2023-08-01,2023-08-03,Delivered,Credit Card,0
1150,326,2024-03-08,2024-03-13,Delivered,COD,20
1151,609,2024-04-04,2024-04-10,Delivered,UPI,0
1152,526,2022-11-15,2022-11-21,Delivered,UPI,25
1153,274,2022-04-19,,Pending,Credit Card,10
1154,725,2023-05-26,2023-05-28,Delivered,UPI,15
1155,450,2023-12-26,,Shipped,Credit Card,5
1156,976,2024-05-26,2024-05-29,Delivered,Debit Card,5
1157,651,2022-06-28,,Pending,UPI,10
1158,866,2022-07-04,2022-07-05,Delivered,UPI,5
1159,170,2022-04-28,2022-05-05,Delivered,UPI,15
1160,896,2022-01-22,2022-01-28,Returned,Credit Card,20
1161,140,2024-09-09,2024-09-15,Delivered,Debit Card,20
1162,128,2024-04-10,2024-04-16,Delivered,UPI,0
1163,436,2024-12-30,2025-01-05,Delivered,UPI,20
1164,624,2022-03-28,2022-03-30,Delivered,Net Banking,20
1165,180,2022-06-03,2022-06-04,Delivered,UPI,10
1166,433,2024-10-11,2024-10-14,Delivered,UPI,0
1167,936,2023-05-27,,Shipped,COD,0
1168,298,2023-09-05,2023-09-11,Delivered,UPI,0
1169,647,2024-03-17,2024-03-24,Delivered,UPI,20
1170,915,2022-03-14,,Pending,COD,15
1171,59,2023-12-30,2024-01-02,Delivered,Credit Card,5
1172,110,2022-01-11,2022-01-14,Delivered,Debit Card,10
1173,10,2022-07-27,2022-08-01,Delivered,UPI,20
1174,921,2022-11-11,2022-11-13,Delivered,COD,0
1175,788,2023-05-28,2023-05-31,Delivered,UPI,5
1176,439,2023-01-09,2023-01-15,Delivered,UPI,15
1177,860,2024-06-18,2024-06-19,Delivered,UPI,10
1178,368,2023-02-11,2023-02-15,Delivered,UPI,0
1179,432,2023-11-10,,Cancelled,UPI,5
1180,972,2024-09-08,,Pending,Net Banking,0
1181,432,2024-09-28,2024-10-01,Delivered,Debit Card,0
1182,770,2024-03-29,2024-03-31,Delivered,COD,10
1183,113,2022-08-09,,Shipped,UPI,10
1184,513,2022-01-28,2022-02-01,Delivered,UPI,10
1185,1000,2022-01-17,2022-01-18,Delivered,UPI,15
1186,780,2024-05-28,2024-05-30,Delivered,UPI,20
1187,256,2023-07-30,2023-08-05,Delivered,COD,5
1188,841,2024-05-28,2024-06-03,Delivered,Debit Card,0
1189,748,2024-10-25,2024-10-31,Delivered,UPI,25
1190,650,2022-11-01,2022-11-04,Delivered,UPI,0
1191,197,2022-10-27,2022-11-03,Delivered,Credit Card,0
1192,53,2024-02-18,2024-02-20,Delivered,UPI,5
1193,345,2024-05-22,2024-05-25,Delivered,Credit Card,0
1194,113,2023-07-06,2023-07-08,Delivered,Net Banking,10
1195,328,2022-04-08,2022-04-10,Delivered,UPI,10
1196,293,2024-08-24,2024-08-26,Delivered,Credit Card,10
1197,259,2024-10-03,2024-10-09,Delivered,UPI,0
1198,14,2022-09-24,2022-09-30,Delivered,Debit Card,10
1199,798,2024-12-19,2024-12-21,Delivered,UPI,5
1200,599,2024-02-26,2024-02-27,Delivered,UPI,25
1201,43,2023-01-26,2023-01-27,Delivered,Credit Card,0
1202,965,2023-12-04,2023-12-09,Delivered,Credit Card,5
1203,739,2022-11-11,2022-11-17,Delivered,UPI,20
1204,259,2023-12-13,,Cancelled,Credit Card,0
1205,933,2024-06-12,2024-06-19,Delivered,UPI,20
1206,23,2022-12-08,2022-12-11,Delivered,Debit Card,0
1207,47,2022-05-05,,Shipped,Debit Card,10
1208,507,2024-12-26,,Cancelled,Net Banking,0
1209,449,2024-11-09,2024-11-14,Delivered,Debit Card,10
1210,279,2023-02-28,2023-03-05,Delivered,UPI,5
1211,714,2022-01-19,,Cancelled,Debit Card,15
1212,516,2024-12-11,2024-12-17,Delivered,COD,5
1213,275,2022-09-01,2022-09-04,Delivered,UPI,5
1214,41,2022-10-31,,Pending,UPI,0
1215,277,2022-04-16,2022-04-21,Delivered,UPI,5
1216,119,2022-01-03,2022-01-06,Delivered,Credit Card,10
1217,86,2023-06-25,2023-06-28,Delivered,UPI,25
1218,333,2022-04-28,2022-04-30,Delivered,UPI,10
1219,749,2023-07-27,2023-08-02,Delivered,Net Banking,20
1220,889,2022-08-06,2022-08-13,Delivered,Debit Card,5
1221,642,2023-02-27,,Shipped,UPI,5
1222,209,2024-03-20,2024-03-23,Delivered,UPI,10
1223,152,2024-09-08,2024-09-15,Delivered,UPI,0
1224,884,2022-12-27,2023-01-02,Delivered,Credit Card,0
1225,289,2022-02-13,2022-02-19,Delivered,COD,10
1226,623,2023-01-20,2023-01-24,Delivered,UPI,5
1227,931,2024-04-04,2024-04-09,Delivered,Credit Card,0
1228,103,2024-02-13,2024-02-20,Delivered,UPI,0
1229,851,2022-03-31,2022-04-02,Delivered,Debit Card,5
1230,962,2022-01-28,,Shipped,UPI,0
1231,556,2023-11-25,,Cancelled,UPI,0
1232,492,2024-06-28,,Shipped,UPI,15
1233,159,2023-05-15,2023-05-16,Delivered,Debit Card,20
1234,22,2022-04-02,2022-04-09,Delivered,UPI,20
1235,426,2022-10-18,2022-10-22,Delivered,UPI,5
1236,395,2022-10-29,2022-11-04,Delivered,UPI,10
1237,906,2022-08-19,2022-08-20,Delivered,Net Banking,5
1238,980,2023-08-01,2023-08-04,Delivered,Credit Card,0
1239,946,2022-06-23,,Cancelled,Credit Card,0
1240,439,2024-12-22,2024-12-24,Delivered,UPI,10
1241,915,2023-09-10,2023-09-13,Delivered,UPI,0
1242,939,2024-10-19,2024-10-26,Delivered,COD,0
1243,3,2022-11-01,2022-11-05,Delivered,UPI,0
1244,458,2024-09-06,,Shipped,UPI,10
1245,983,2023-07-25,2023-07-27,Delivered,UPI,0
1246,786,2024-02-28,2024-03-05,Delivered,Credit Card,15
1247,997,2024-04-27,2024-05-04,Delivered,Credit Card,0
1248,967,2023-05-19,2023-05-24,Delivered,Credit Card,20
1249,505,2024-12-26,2024-12-31,Delivered,UPI,0
1250,733,2024-05-13,2024-05-19,Delivered,Debit Card,5
1251,90,2023-04-27,2023-04-30,Delivered,UPI,0
1252,572,2024-08-28,,Pending,COD,0
1253,934,2023-12-17,2023-12-20,Delivered,COD,0
1254,472,2022-10-23,,Shipped,Credit Card,10
1255,249,2023-03-08,,Shipped,UPI,0
1256,121,2022-10-21,2022-10-24,Delivered,UPI,10
1257,56,2022-08-06,2022-08-13,Delivered,UPI,25
1258,162,2022-03-03,2022-03-04,Delivered,UPI,5
1259,13,2024-05-02,2024-05-08,Delivered,UPI,0
1260,541,2023-09-06,2023-09-13,Delivered,Debit Card,15
1261,661,2022-01-28,2022-02-02,Delivered,UPI,0
1262,770,2022-12-22,2022-12-28,Delivered,UPI,10
1263,971,2024-07-19,2024-07-24,Delivered,COD,25
1264,314,2023-04-11,2023-04-16,Delivered,UPI,0
1265,387,2022-09-14,2022-09-16,Delivered,UPI,0
1266,402,2023-01-12,,Shipped,Net Banking,25
1267,862,2022-06-08,,Shipped,Credit Card,10
1268,669,2024-04-09,,Shipped,UPI,10
1269,663,2024-05-18,2024-05-21,Delivered,UPI,0
1270,618,2023-11-19,2023-11-20,Delivered,UPI,20
1271,67,2023-03-10,2023-03-12,Delivered,Debit Card,5
1272,565,2023-02-18,2023-02-19,Delivered,UPI,5
1273,584,2022-04-02,2022-04-03,Delivered,Debit Card,0
1274,323,2022-07-10,,Pending,UPI,10
1275,770,2023-08-02,,Pending,Credit Card,10
1276,770,2024-03-11,2024-03-14,Delivered,Net Banking,0
1277,418,2024-10-28,2024-10-29,Delivered,COD,0
1278,602,2024-02-22,2024-02-25,Delivered,COD,0
1279,166,2022-11-07,2022-11-13,Delivered,UPI,0
1280,238,2023-03-18,,Shipped,Debit Card,0
1281,987,2024-10-24,2024-10-31,Delivered,Debit Card,20
1282,350,2024-07-05,,Shipped,UPI,10
1283,639,2024-06-01,2024-06-03,Delivered,Debit Card,10
1284,214,2022-06-03,,Pending,Credit Card,15
1285,100,2022-01-31,2022-02-07,Delivered,COD,20
1286,993,2022-06-28,2022-07-01,Delivered,Credit Card,0
1287,166,2022-05-20,2022-05-21,Delivered,UPI,0
1288,184,2024-08-01,2024-08-08,Delivered,Credit Card,5
1289,898,2024-06-24,2024-06-29,Delivered,UPI,0
1290,500,2022-03-23,2022-03-30,Delivered,UPI,10
1291,635,2022-09-22,2022-09-25,Delivered,Credit Card,25
1292,383,2022-06-20,2022-06-26,Delivered,Credit Card,5
1293,44,2022-04-27,2022-04-28,Delivered,UPI,20
1294,159,2022-08-04,2022-08-11,Delivered,UPI,10
1295,75,2023-04-02,2023-04-05,Delivered,Credit Card,0
1296,478,2024-08-17,2024-08-18,Delivered,COD,15
1297,88,2023-01-05,2023-01-12,Delivered,COD,10
1298,444,2023-02-13,2023-02-18,Delivered,UPI,10
1299,498,2023-03-12,2023-03-16,Delivered,Credit Card,5
1300,40,2022-11-15,,Pending,UPI,5
1301,328,2022-03-06,2022-03-13,Returned,Debit Card,0
1302,371,2024-05-30,2024-06-06,Returned,UPI,5
1303,24,2024-05-16,2024-05-18,Delivered,Credit Card,0
1304,71,2023-07-15,2023-07-22,Delivered,UPI,15
1305,430,2024-12-10,2024-12-17,Delivered,COD,0
1306,56,2022-07-09,,Cancelled,Credit Card,5
1307,169,2023-02-11,2023-02-16,Delivered,UPI,15
1308,706,2022-11-26,2022-11-30,Returned,Credit Card,25
1309,843,2022-01-21,2022-01-22,Delivered,COD,5
1310,741,2022-10-24,2022-10-25,Delivered,Net Banking,10
1311,155,2024-07-28,,Pending,Credit Card,10
1312,117,2024-04-12,2024-04-19,Delivered,Debit Card,15
1313,878,2022-09-15,2022-09-16,Delivered,Credit Card,25
1314,38,2023-03-24,2023-03-31,Delivered,UPI,20
1315,171,2024-02-13,2024-02-19,Delivered,UPI,5
1316,591,2022-01-30,2022-02-02,Delivered,UPI,5
1317,515,2022-09-13,2022-09-17,Delivered,Debit Card,15
1318,421,2023-12-22,2023-12-29,Delivered,Credit Card,20
1319,344,2022-08-21,,Pending,Credit Card,10
1320,182,2022-11-30,2022-12-06,Delivered,UPI,10
1321,291,2022-07-23,2022-07-24,Returned,COD,0
1322,666,2022-02-03,2022-02-09,Delivered,UPI,15
1323,770,2022-07-24,2022-07-30,Delivered,Credit Card,0
1324,297,2024-05-11,2024-05-15,Delivered,Debit Card,20
1325,118,2023-02-05,,Cancelled,Net Banking,10
1326,991,2024-08-08,2024-08-09,Delivered,COD,10
1327,963,2024-02-07,,Shipped,Credit Card,5
1328,901,2023-06-26,2023-07-02,Delivered,COD,10
1329,248,2022-01-09,,Cancelled,UPI,0
1330,27,2022-11-11,,Shipped,COD,20
1331,840,2023-10-13,2023-10-15,Delivered,Net Banking,10
1332,570,2024-03-12,2024-03-19,Delivered,Debit Card,0
1333,955,2024-05-28,2024-06-01,Delivered,Credit Card,0
1334,926,2023-10-14,2023-10-20,Delivered,Credit Card,0
1335,821,2022-09-16,2022-09-23,Delivered,Credit Card,10
1336,781,2023-06-17,,Shipped,UPI,10
1337,209,2022-07-10,2022-07-12,Delivered,Credit Card,25
1338,29,2022-06-11,2022-06-15,Delivered,UPI,0
1339,650,2024-01-04,2024-01-07,Delivered,Debit Card,5
1340,199,2023-05-18,2023-05-25,Delivered,COD,10
1341,267,2022-04-16,2022-04-22,Delivered,COD,0
1342,594,2022-07-31,2022-08-01,Delivered,COD,0
1343,146,2023-08-02,2023-08-06,Delivered,UPI,0
1344,865,2024-01-11,,Pending,UPI,0
1345,503,2022-02-14,2022-02-16,Delivered,Credit Card,0
1346,704,2024-05-09,2024-05-16,Delivered,UPI,15
1347,165,2023-01-04,2023-01-10,Delivered,COD,25
1348,622,2022-03-06,2022-03-10,Delivered,UPI,10
1349,629,2022-01-11,2022-01-13,Delivered,Debit Card,0
1350,621,2022-03-02,2022-03-04,Delivered,Credit Card,0
1351,888,2024-01-18,2024-01-20,Delivered,UPI,10
1352,226,2022-06-20,2022-06-23,Delivered,COD,5
1353,494,2023-02-13,,Pending,UPI,20
1354,668,2023-08-26,2023-08-31,Delivered,COD,10
1355,970,2024-03-30,,Pending,UPI,5
1356,704,2023-07-30,2023-08-02,Returned,UPI,25
1357,170,2023-02-26,,Pending,Credit Card,15
1358,434,2023-07-11,,Shipped,Credit Card,25
1359,393,2024-05-29,2024-06-02,Delivered,UPI,0
1360,172,2022-03-11,,Pending,UPI,10
1361,301,2024-12-22,2024-12-29,Delivered,UPI,0
1362,331,2024-05-29,,Shipped,UPI,0
1363,221,2024-02-01,2024-02-02,Delivered,Debit Card,0
1364,327,2022-01-23,2022-01-30,Delivered,UPI,25
1365,330,2023-04-22,2023-04-24,Delivered,UPI,25
1366,540,2023-03-22,2023-03-29,Delivered,UPI,25
1367,881,2022-06-03,2022-06-06,Delivered,Debit Card,10
1368,833,2023-10-18,2023-10-22,Delivered,UPI,15
1369,48,2023-07-17,2023-07-22,Delivered,UPI,0
1370,335,2024-02-24,2024-03-01,Delivered,UPI,0
1371,803,2022-01-10,,Pending,UPI,10
1372,38,2024-12-28,,Pending,UPI,0
1373,72,2024-08-20,2024-08-23,Delivered,COD,5
1374,325,2023-12-10,2023-12-14,Delivered,Credit Card,10
1375,628,2022-04-07,2022-04-11,Delivered,Debit Card,15
1376,870,2022-09-06,,Shipped,COD,0
1377,30,2023-04-04,2023-04-07,Delivered,UPI,0
1378,883,2024-06-11,2024-06-18,Delivered,UPI,10
1379,925,2022-01-11,,Pending,COD,5
1380,905,2022-03-30,2022-04-02,Delivered,Net Banking,0
1381,338,2024-02-17,2024-02-22,Delivered,UPI,0
1382,472,2022-09-03,2022-09-10,Delivered,COD,25
1383,990,2024-04-26,2024-05-01,Delivered,Debit Card,20
1384,247,2024-09-05,2024-09-12,Delivered,Net Banking,10
1385,749,2024-09-15,2024-09-21,Delivered,UPI,5
1386,85,2023-12-24,2023-12-30,Delivered,COD,5
1387,80,2022-06-03,2022-06-09,Returned,UPI,0
1388,222,2024-08-16,,Shipped,UPI,0
1389,349,2023-03-04,,Shipped,Debit Card,20
1390,880,2023-10-04,2023-10-10,Delivered,UPI,15
1391,158,2024-10-30,2024-11-03,Delivered,UPI,10
1392,999,2024-07-15,,Cancelled,Credit Card,10
1393,193,2022-05-21,2022-05-28,Delivered,UPI,5
1394,592,2022-07-29,2022-07-31,Delivered,COD,0
1395,17,2024-08-01,2024-08-05,Delivered,UPI,20
1396,361,2023-06-28,2023-07-02,Delivered,Credit Card,10
1397,218,2022-11-05,2022-11-06,Delivered,Credit Card,10
1398,452,2023-07-13,2023-07-19,Delivered,UPI,10
1399,951,2024-05-15,2024-05-20,Delivered,UPI,0
1400,283,2024-12-20,2024-12-26,Delivered,Credit Card,0
1401,52,2023-05-25,,Pending,UPI,0
1402,917,2022-03-15,2022-03-16,Delivered,UPI,20
1403,283,2023-04-09,,Cancelled,Debit Card,10
1404,402,2024-03-15,2024-03-19,Delivered,Debit Card,5
1405,211,2022-12-17,,Shipped,UPI,5
1406,723,2023-08-13,2023-08-19,Delivered,UPI,20
1407,638,2024-09-03,2024-09-05,Delivered,COD,5
1408,323,2022-05-23,2022-05-25,Delivered,UPI,15
1409,986,2022-01-27,2022-01-29,Delivered,Credit Card,0
1410,998,2023-06-25,,Cancelled,UPI,0
1411,609,2023-12-23,2023-12-30,Returned,Credit Card,15
1412,254,2024-08-25,2024-08-31,Delivered,COD,25
1413,298,2023-04-13,2023-04-20,Delivered,UPI,0
1414,97,2022-07-24,2022-07-28,Delivered,Debit Card,15
1415,753,2023-12-20,2023-12-23,Returned,UPI,15
1416,374,2024-07-28,2024-08-02,Delivered,UPI,10
1417,794,2024-09-18,2024-09-20,Delivered,Debit Card,0
1418,421,2023-03-28,2023-03-29,Delivered,UPI,15
1419,251,2024-06-01,2024-06-05,Delivered,Debit Card,5
1420,655,2022-08-10,2022-08-14,Returned,COD,20
1421,982,2024-12-15,2024-12-18,Delivered,COD,10
1422,401,2024-05-04,,Pending,UPI,5
1423,43,2024-12-01,2024-12-05,Delivered,COD,0
1424,815,2024-07-20,2024-07-23,Delivered,Debit Card,10
1425,113,2022-01-18,2022-01-24,Delivered,Debit Card,15
1426,154,2024-12-07,2024-12-10,Returned,Credit Card,0
1427,499,2023-08-14,2023-08-15,Delivered,UPI,15
1428,223,2023-08-03,,Shipped,UPI,15
1429,314,2022-01-11,2022-01-12,Delivered,Debit Card,0
1430,258,2022-10-10,2022-10-16,Delivered,UPI,20
1431,982,2022-11-14,,Pending,Debit Card,0
1432,751,2023-02-07,2023-02-09,Delivered,COD,5
1433,33,2024-08-27,,Pending,UPI,10
1434,433,2024-03-28,2024-03-31,Returned,UPI,5
1435,612,2023-09-29,2023-10-06,Delivered,Credit Card,10
1436,593,2022-10-13,2022-10-17,Delivered,UPI,0
1437,568,2023-02-13,2023-02-19,Delivered,UPI,25
1438,473,2023-01-11,2023-01-12,Delivered,COD,10
1439,142,2024-12-14,2024-12-18,Delivered,UPI,10
1440,363,2024-05-25,2024-05-26,Delivered,Net Banking,15
1441,935,2022-02-24,,Pending,Credit Card,0
1442,630,2023-09-12,,Shipped,Credit Card,10
1443,131,2023-08-24,2023-08-28,Delivered,COD,0
1444,687,2022-01-13,2022-01-17,Delivered,Debit Card,20
1445,860,2022-04-22,2022-04-25,Delivered,UPI,0
1446,609,2022-07-19,,Shipped,Credit Card,10
1447,886,2022-05-05,2022-05-11,Delivered,Credit Card,20
1448,735,2022-04-19,2022-04-25,Delivered,Credit Card,20
1449,991,2024-10-11,2024-10-14,Delivered,COD,0
1450,644,2023-09-29,2023-10-04,Delivered,COD,15
1451,705,2023-02-16,2023-02-17,Delivered,UPI,25
1452,533,2022-07-18,2022-07-25,Delivered,UPI,0
1453,518,2024-06-27,2024-07-01,Delivered,COD,5
1454,496,2023-01-12,,Shipped,COD,20
1455,267,2024-06-18,,Cancelled,Credit Card,10
1456,150,2022-02-14,2022-02-16,Delivered,COD,5
1457,524,2023-02-15,2023-02-20,Delivered,UPI,0
1458,505,2024-01-23,2024-01-27,Delivered,UPI,0
1459,427,2024-05-20,2024-05-25,Delivered,UPI,0
1460,399,2022-01-23,2022-01-27,Delivered,UPI,25
1461,44,2023-12-28,2023-12-31,Returned,Credit Card,15
1462,10,2022-11-21,2022-11-23,Delivered,COD,20
1463,358,2024-12-11,2024-12-14,Delivered,UPI,0
1464,672,2023-11-26,2023-11-29,Delivered,COD,0
1465,804,2023-09-13,,Pending,UPI,15
1466,386,2024-08-24,2024-08-31,Delivered,UPI,20
1467,675,2024-12-12,2024-12-17,Delivered,Debit Card,25
1468,357,2024-04-06,2024-04-08,Delivered,UPI,0
1469,99,2022-08-06,2022-08-13,Delivered,Debit Card,10
1470,238,2023-04-30,2023-05-07,Delivered,COD,10
1471,997,2024-05-10,,Pending,UPI,5
1472,118,2022-03-18,,Shipped,UPI,10
1473,622,2022-03-02,,Pending,UPI,15
1474,387,2022-09-30,2022-10-02,Returned,Credit Card,5
1475,259,2024-10-02,2024-10-08,Delivered,UPI,5
